id,address,price,area_sqm,rooms,is_new_building,has_balcony,no_commission,has_terrace,is_furnished,is_social_housing,district
684a93445e9cbac7280d1eba,"Dresdner Straße, 1200 Wien",1221.9,32.1,1.0,0,1,0,1,1,0,1200
684a93447c7855c453441dc0,"Dresdner Straße, 1200 Wien",2417.6,67.1,3.0,0,1,0,1,0,0,1200
684a93445e9cbac7280d1eb6,"Dresdner Straße, 1200 Wien",2430.25,69.1,3.0,0,1,0,1,0,0,1200
684a93445e9cbac7280d1eab,"Dresdner Straße, 1200 Wien",1210.9,32.3,1.0,0,1,0,1,1,0,1200
684a93445e9cbac7280d1ea8,"Dresdner Straße, 1200 Wien",1416.6,36.3,2.0,0,1,0,1,1,0,1200
684a93437c7855c453441dad,"Dresdner Straße, 1200 Wien",3516.5,105.0,4.0,0,1,0,1,0,0,1200
684a93437c7855c453441daa,"Dresdner Straße, 1200 Wien",1221.9,32.2,1.0,0,1,0,1,1,0,1200
684a93435e9cbac7280d1e9b,"Dresdner Straße, 1200 Wien",1221.9,32.1,1.0,0,1,0,1,1,0,1200
684a93437c7855c453441da1,"Dresdner Straße, 1200 Wien",2435.75,69.1,3.0,0,1,0,1,0,0,1200
684a93437c7855c453441d9e,"Dresdner Straße, 1200 Wien",1216.4,32.3,1.0,0,1,0,1,1,0,1200
684a93435e9cbac7280d1e8d,"Dresdner Straße, 1200 Wien",1422.1,36.0,2.0,0,1,0,1,1,0,1200
684a93427c7855c453441d92,"Dresdner Straße, 1200 Wien",1273.6,33.9,1.0,0,1,0,1,1,0,1200
684a93425e9cbac7280d1e79,"Dresdner Straße, 1200 Wien",1251.6,33.6,1.0,0,1,0,1,1,0,1200
684a93425e9cbac7280d1e72,"Dresdner Straße, 1200 Wien",2435.75,69.1,3.0,0,1,0,1,0,0,1200
684a93427c7855c453441d82,"Dresdner Straße, 1200 Wien",1216.4,32.3,1.0,0,1,0,1,1,0,1200
684a93417c7855c453441d7e,"Dresdner Straße, 1200 Wien",1227.4,32.1,1.0,0,1,0,1,1,0,1200
684a93417c7855c453441d78,"Dresdner Straße, 1200 Wien",1273.6,33.9,1.0,0,1,0,1,1,0,1200
684a93415e9cbac7280d1e62,"Dresdner Straße, 1200 Wien",2423.1,67.1,3.0,0,1,0,1,0,0,1200
687614ad1b7dd9e5fe6b735c,"Dresdner Straße, 1200 Wien",2435.75,69.1,3.0,0,1,0,1,0,0,1200
684a93417c7855c453441d6c,"Dresdner Straße, 1200 Wien",1216.4,32.3,1.0,0,1,0,1,1,0,1200
684a93417c7855c453441d69,"Dresdner Straße, 1200 Wien",1422.1,36.0,2.0,0,1,0,1,1,0,1200
685051b65e9cbac728166d3e,"Dresdner Straße, 1200 Wien",1422.1,36.0,2.0,0,1,0,1,1,0,1200
684a93405e9cbac7280d1e4d,"Dresdner Straße, 1200 Wien",1692.7,48.1,2.0,0,1,0,1,1,0,1200
684a93405e9cbac7280d1e4a,"Dresdner Straße, 1200 Wien",1227.4,32.1,1.0,0,1,0,1,1,0,1200
684a93405e9cbac7280d1e43,"Dresdner Straße, 1200 Wien",1273.6,33.9,1.0,0,1,0,1,1,0,1200
687614add04d6bc8fd37e036,"Dresdner Straße, 1200 Wien",2423.1,67.1,3.0,0,1,0,1,0,0,1200
